ObjectType	Schema	Name	Col/ParamName	Order	DataType	MaxLength	NumericPrecision	NumericScale	DateTimePrecision	IsNullable	DefaultValue	ParameterMode	RoutineDefinition
Table	dbo	EndpointLoadControl	EndpointName	1	nvarchar	128	NULL	NULL	NULL	NO	NULL	NULL	NULL
Table	dbo	EndpointLoadControl	ModifiedSinceUTC	2	datetime2	NULL	NULL	NULL	7	YES	NULL	NULL	NULL
Table	dbo	EndpointLoadControl	LastRunUTC	3	datetime2	NULL	NULL	NULL	7	YES	NULL	NULL	NULL
Table	dbo	EndpointLoadControl	LastSuccessUTC	4	datetime2	NULL	NULL	NULL	7	YES	NULL	NULL	NULL
Table	dbo	EndpointLoadControl	RowsInserted	5	bigint	NULL	19	0	NULL	YES	NULL	NULL	NULL
Table	dbo	EndpointLoadControl	RowsUpdated	6	bigint	NULL	19	0	NULL	YES	NULL	NULL	NULL
Table	dbo	EndpointLoadControl	LastError	7	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	dbo	ProcessLogs	TableName	1	nvarchar	128	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	dbo	ProcessLogs	ProcessStartTime	2	datetime	NULL	NULL	NULL	3	YES	NULL	NULL	NULL
Table	dbo	ProcessLogs	ProcessEndTime	3	datetime	NULL	NULL	NULL	3	YES	NULL	NULL	NULL
Table	dbo	ProcessLogs	Status	4	nvarchar	10	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	dbo	ProcessLogs	ErrorMessage	5	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	Code	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	Name	2	nvarchar	150	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	AccountID	3	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	Type	4	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	BankAccountNumber	5	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	Status	6	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	Description	7	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	BankAccountType	8	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	CurrencyCode	9	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	TaxType	10	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	EnablePaymentsToAccount	11	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	ShowInExpenseClaims	12	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	Class	13	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	SystemAccount	14	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	ReportingCode	15	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	ReportingCodeName	16	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	HasAttachments	17	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	UpdatedDateUTC	18	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	AddToWatchlist	19	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Account	ValidationErrors	20	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Accounts	Accounts	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	AccountsPayable	Outstanding	1	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	AccountsPayable	Overdue	2	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	AccountsReceivable	Outstanding	1	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	AccountsReceivable	Overdue	2	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	Actions	Actions	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Address	AddressType	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Address	AddressLine1	2	nvarchar	500	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Address	AddressLine2	3	nvarchar	500	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Address	AddressLine3	4	nvarchar	500	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Address	AddressLine4	5	nvarchar	500	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Address	City	6	nvarchar	255	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Address	Region	7	nvarchar	255	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Address	PostalCode	8	nvarchar	50	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Address	Country	9	nvarchar	50	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Address	AttentionTo	10	nvarchar	255	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	AddressForOrganisation	AddressType	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	AddressForOrganisation	AddressLine1	2	nvarchar	500	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	AddressForOrganisation	AddressLine2	3	nvarchar	500	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	AddressForOrganisation	AddressLine3	4	nvarchar	500	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	AddressForOrganisation	AddressLine4	5	nvarchar	500	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	AddressForOrganisation	City	6	nvarchar	255	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	AddressForOrganisation	Region	7	nvarchar	255	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	AddressForOrganisation	PostalCode	8	nvarchar	50	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	AddressForOrganisation	Country	9	nvarchar	50	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	AddressForOrganisation	AttentionTo	10	nvarchar	255	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Allocation	AllocationID	1	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
