"table_schema","table_name","column_name","ordinal_position","is_nullable","data_type","character_maximum_length","numeric_precision","numeric_scale","datetime_precision"
"landing","accounts","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","accounts","source_run_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","accounts","loaded_at",3,"NO","timestamp without time zone",NULL,NULL,NULL,6
"landing","accounts","account_id",4,"YES","uuid",NULL,NULL,NULL,NULL
"landing","accounts","code",5,"YES","text",NULL,NULL,NULL,NULL
"landing","accounts","name",6,"YES","text",NULL,NULL,NULL,NULL
"landing","accounts","status",7,"YES","text",NULL,NULL,NULL,NULL
"landing","accounts","type",8,"YES","text",NULL,NULL,NULL,NULL
"landing","accounts","tax_type",9,"YES","text",NULL,NULL,NULL,NULL
"landing","accounts","description",10,"YES","text",NULL,NULL,NULL,NULL
"landing","accounts","class",11,"YES","text",NULL,NULL,NULL,NULL
"landing","accounts","enable_payments_to_account",12,"YES","boolean",NULL,NULL,NULL,NULL
"landing","accounts","show_in_expense_claims",13,"YES","boolean",NULL,NULL,NULL,NULL
"landing","accounts","reporting_code",14,"YES","text",NULL,NULL,NULL,NULL
"landing","accounts","reporting_code_name",15,"YES","text",NULL,NULL,NULL,NULL
"landing","accounts","updated_date_utc",16,"YES","timestamp without time zone",NULL,NULL,NULL,6
"landing","accounts","currency_code",17,"YES","text",NULL,NULL,NULL,NULL
"landing","accounts","bank_account_number",18,"YES","text",NULL,NULL,NULL,NULL
"landing","accounts","bank_account_type",19,"YES","text",NULL,NULL,NULL,NULL
"landing","attachments","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","attachments","source_run_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","attachments","loaded_at",3,"NO","timestamp without time zone",NULL,NULL,NULL,6
"landing","attachments","parent_type",4,"NO","text",NULL,NULL,NULL,NULL
"landing","attachments","parent_id",5,"NO","uuid",NULL,NULL,NULL,NULL
"landing","attachments","attachment_id",6,"YES","uuid",NULL,NULL,NULL,NULL
"landing","attachments","file_name",7,"YES","text",NULL,NULL,NULL,NULL
"landing","attachments","url",8,"YES","text",NULL,NULL,NULL,NULL
"landing","attachments","mime_type",9,"YES","text",NULL,NULL,NULL,NULL
"landing","attachments","content_length",10,"YES","integer",NULL,32,0,NULL
"landing","bank_transaction_lines","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","bank_transaction_lines","bank_transaction_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","bank_transaction_lines","description",3,"YES","text",NULL,NULL,NULL,NULL
"landing","bank_transaction_lines","unit_amount",4,"YES","numeric",NULL,NULL,NULL,NULL
"landing","bank_transaction_lines","tax_type",5,"YES","text",NULL,NULL,NULL,NULL
"landing","bank_transaction_lines","tax_amount",6,"YES","numeric",NULL,NULL,NULL,NULL
"landing","bank_transaction_lines","line_amount",7,"YES","numeric",NULL,NULL,NULL,NULL
"landing","bank_transaction_lines","account_code",8,"YES","text",NULL,NULL,NULL,NULL
"landing","bank_transaction_lines","quantity",9,"YES","numeric",NULL,NULL,NULL,NULL
"landing","bank_transaction_lines","account_id",10,"YES","uuid",NULL,NULL,NULL,NULL
"landing","bank_transactions","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","bank_transactions","source_run_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","bank_transactions","loaded_at",3,"NO","timestamp without time zone",NULL,NULL,NULL,6
"landing","bank_transactions","bank_transaction_id",4,"YES","uuid",NULL,NULL,NULL,NULL
"landing","bank_transactions","type",5,"YES","text",NULL,NULL,NULL,NULL
"landing","bank_transactions","contact_id",6,"YES","uuid",NULL,NULL,NULL,NULL
"landing","bank_transactions","reference",7,"YES","text",NULL,NULL,NULL,NULL
"landing","bank_transactions","is_reconciled",8,"YES","boolean",NULL,NULL,NULL,NULL
"landing","bank_transactions","currency_code",9,"YES","text",NULL,NULL,NULL,NULL
"landing","bank_transactions","date",10,"YES","date",NULL,NULL,NULL,0
"landing","bank_transactions","status",11,"YES","text",NULL,NULL,NULL,NULL
"landing","bank_transactions","sub_total",12,"YES","numeric",NULL,NULL,NULL,NULL
"landing","bank_transactions","total_tax",13,"YES","numeric",NULL,NULL,NULL,NULL
"landing","bank_transactions","total",14,"YES","numeric",NULL,NULL,NULL,NULL
"landing","bank_transactions","updated_date_utc",15,"YES","timestamp without time zone",NULL,NULL,NULL,6
"landing","bank_transfers","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","bank_transfers","source_run_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","bank_transfers","loaded_at",3,"NO","timestamp without time zone",NULL,NULL,NULL,6
"landing","bank_transfers","bank_transfer_id",4,"YES","uuid",NULL,NULL,NULL,NULL
"landing","bank_transfers","date",5,"YES","date",NULL,NULL,NULL,0
"landing","bank_transfers","amount",6,"YES","numeric",NULL,NULL,NULL,NULL
"landing","bank_transfers","from_bank_account_id",7,"YES","uuid",NULL,NULL,NULL,NULL
"landing","bank_transfers","from_bank_account_name",8,"YES","text",NULL,NULL,NULL,NULL
"landing","bank_transfers","to_bank_account_id",9,"YES","uuid",NULL,NULL,NULL,NULL
"landing","bank_transfers","to_bank_account_name",10,"YES","text",NULL,NULL,NULL,NULL
"landing","bank_transfers","from_bank_transaction_id",11,"YES","uuid",NULL,NULL,NULL,NULL
"landing","bank_transfers","to_bank_transaction_id",12,"YES","uuid",NULL,NULL,NULL,NULL
"landing","bank_transfers","from_is_reconciled",13,"YES","boolean",NULL,NULL,NULL,NULL
"landing","bank_transfers","to_is_reconciled",14,"YES","boolean",NULL,NULL,NULL,NULL
"landing","bank_transfers","reference",15,"YES","text",NULL,NULL,NULL,NULL
"landing","bank_transfers","has_attachments",16,"YES","boolean",NULL,NULL,NULL,NULL
"landing","batch_payment_lines","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","batch_payment_lines","batch_payment_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","batch_payment_lines","payment_id",3,"YES","uuid",NULL,NULL,NULL,NULL
"landing","batch_payment_lines","invoice_id",4,"YES","uuid",NULL,NULL,NULL,NULL
"landing","batch_payment_lines","amount",5,"YES","numeric",NULL,NULL,NULL,NULL
"landing","batch_payments","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","batch_payments","source_run_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","batch_payments","loaded_at",3,"NO","timestamp without time zone",NULL,NULL,NULL,6
"landing","batch_payments","batch_payment_id",4,"YES","uuid",NULL,NULL,NULL,NULL
"landing","batch_payments","reference",5,"YES","text",NULL,NULL,NULL,NULL
"landing","batch_payments","date",6,"YES","date",NULL,NULL,NULL,0
"landing","batch_payments","type",7,"YES","text",NULL,NULL,NULL,NULL
"landing","batch_payments","status",8,"YES","text",NULL,NULL,NULL,NULL
"landing","batch_payments","total_amount",9,"YES","numeric",NULL,NULL,NULL,NULL
"landing","batch_payments","is_reconciled",10,"YES","boolean",NULL,NULL,NULL,NULL
"landing","batch_payments","updated_date_utc",11,"YES","timestamp without time zone",NULL,NULL,NULL,6
"landing","batch_payments","account_id",12,"YES","uuid",NULL,NULL,NULL,NULL
"landing","branding_themes","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","branding_themes","source_run_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","branding_themes","loaded_at",3,"NO","timestamp without time zone",NULL,NULL,NULL,6
"landing","branding_themes","branding_theme_id",4,"YES","uuid",NULL,NULL,NULL,NULL
"landing","branding_themes","name",5,"YES","text",NULL,NULL,NULL,NULL
"landing","branding_themes","sort_order",6,"YES","integer",NULL,32,0,NULL
"landing","branding_themes","created_date_utc",7,"YES","timestamp without time zone",NULL,NULL,NULL,6
"landing","budget_balances","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","budget_balances","budget_line_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","budget_balances","period",3,"YES","text",NULL,NULL,NULL,NULL
"landing","budget_balances","amount",4,"YES","numeric",NULL,NULL,NULL,NULL
"landing","budget_balances","notes",5,"YES","text",NULL,NULL,NULL,NULL
"landing","budget_lines","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","budget_lines","budget_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","budget_lines","account_id",3,"YES","uuid",NULL,NULL,NULL,NULL
"landing","budget_lines","account_code",4,"YES","text",NULL,NULL,NULL,NULL
"landing","budgets","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","budgets","source_run_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","budgets","loaded_at",3,"NO","timestamp without time zone",NULL,NULL,NULL,6
"landing","budgets","budget_id",4,"YES","uuid",NULL,NULL,NULL,NULL
"landing","budgets","status",5,"YES","text",NULL,NULL,NULL,NULL
"landing","budgets","description",6,"YES","text",NULL,NULL,NULL,NULL
"landing","budgets","type",7,"YES","text",NULL,NULL,NULL,NULL
"landing","budgets","updated_date_utc",8,"YES","timestamp without time zone",NULL,NULL,NULL,6
"landing","contact_addresses","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","contact_addresses","contact_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","contact_addresses","address_type",3,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_addresses","address_line1",4,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_addresses","address_line2",5,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_addresses","address_line3",6,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_addresses","address_line4",7,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_addresses","city",8,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_addresses","region",9,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_addresses","postal_code",10,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_addresses","country",11,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_groups","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","contact_groups","source_run_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","contact_groups","loaded_at",3,"NO","timestamp without time zone",NULL,NULL,NULL,6
"landing","contact_groups","contact_group_id",4,"YES","uuid",NULL,NULL,NULL,NULL
"landing","contact_groups","name",5,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_groups","status",6,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_persons","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","contact_persons","contact_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","contact_persons","first_name",3,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_persons","last_name",4,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_persons","email_address",5,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_phones","id",1,"NO","uuid",NULL,NULL,NULL,NULL
"landing","contact_phones","contact_id",2,"NO","uuid",NULL,NULL,NULL,NULL
"landing","contact_phones","phone_type",3,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_phones","phone_number",4,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_phones","phone_area_code",5,"YES","text",NULL,NULL,NULL,NULL
"landing","contact_phones","phone_country_code",6,"YES","text",NULL,NULL,NULL,NULL
